Order ID,Customer Name,Region,Category,Product Name,Quantity,Total Sales,Net Profit,Sales with GST
10002,Advik Desai,North,Groceries,Rice Nemo,1,33732.0,6299.66,39803.759999999995
10008,Misha Dua,North,Books,Biography Vel,1,14296.5,1289.03,16869.87
10009,Arhaan Vala,North,Groceries,Spices Expedita,1,32667.2,3700.89,38547.296
10011,Divyansh Thaman,North,Kitchen,Cookware Set Doloremque,2,17217.6,4139.82,20316.767999999996
10013,Anika Khanna,North,Home Decor,Vase Ratione,1,51253.45,6826.05,60479.070999999996
10015,Anay Grewal,North,Kitchen,Juicer Debitis,2,29343.6,5535.44,34625.448
10022,Kashvi Ratti,North,Groceries,Wheat Natus,5,113738.5,27267.31,134211.43
10025,Lakshay Ramakrishnan,North,Electronics,Headphones Itaque,5,96224.0,20551.56,113544.31999999999
10027,Kimaya Rege,North,Beauty,Foundation Illo,1,8276.0,537.47,9765.68
10029,Kavya Bhatnagar,North,Toys,RC Car Amet,2,107336.0,22034.77,126656.48
10030,Adira Seshadri,North,Groceries,Sugar Excepturi,5,337675.25,80309.87,398456.795
10032,Bhamini Kuruvilla,North,Sports,Cricket Bat Voluptatum,4,291243.4,40522.22,343667.212
10038,Arhaan Gole,North,Sports,Yoga Mat Quaerat,4,129671.2,8392.19,153012.01599999997
10040,Taran Kala,North,Kitchen,Refrigerator Libero,5,40959.0,7785.75,48331.619999999995
10042,Lavanya Tata,North,Toys,Doll Laborum,5,273405.25,26969.18,322618.195
10047,Advik Sule,North,Beauty,Perfume Quisquam,3,150776.1,23835.95,177915.798
10049,Nirvaan Ben,North,Toys,Puzzle Dolorem,1,63750.6,4232.48,75225.708
10056,Alisha Sampath,North,Furniture,Bed Molestias,5,212310.0,11609.02,250525.8
10066,Purab Batta,North,Kitchen,Juicer Vero,2,69994.0,11129.92,82592.92
10073,Drishya Korpal,North,Home Decor,Cushion Quis,1,33613.25,4294.42,39663.634999999995
10075,Neysa Ganguly,North,Toys,Action Figure Placeat,1,20828.0,2957.26,24577.039999999997
10077,Shalv Subramaniam,North,Kitchen,Cookware Set Libero,4,275673.6,39540.52,325294.84799999994
10088,Baiju Dube,North,Sports,Tennis Racket Aperiam,5,187425.5,44132.79,221162.09
10092,Mamooty Mannan,North,Electronics,Camera Ipsa,1,62529.4,13309.3,73784.692
10100,Arnav Badami,North,Electronics,Mobile Harum,3,201636.0,41541.42,237930.47999999998
10105,Ela Srivastava,North,Home Decor,Lamp Pariatur,4,208549.2,40557.88,246088.056
10109,Parinaaz Luthra,North,Furniture,Bed Officiis,1,40468.5,3617.94,47752.829999999994
10111,Rasha Bansal,North,Electronics,Camera Dignissimos,2,54538.2,10554.74,64355.075999999994
10112,Alisha Amble,North,Kitchen,Microwave Vero,2,71352.0,5019.37,84195.36
10123,Heer Lata,North,Groceries,Spices Non,4,253683.2,28531.58,299346.176
10124,Jiya Tandon,North,Clothing,Shoes Recusandae,3,52972.8,2832.75,62507.904
10125,Divyansh Kale,North,Kitchen,Juicer Deleniti,1,51998.75,10749.96,61358.524999999994
10127,Mehul Magar,North,Groceries,Oil Laboriosam,3,54820.8,8867.14,64688.544
