customer_id,name,n_orders,total_spend,last_order_date,frequency_segment,spend_tier,recency_days,R_score,F_score,M_score,RFM_score
1,Allison Hill,3,10467.74,2026-02-27,occasional,high,135,3,2,3,8
2,Javier Johnson,2,2517.25,2025-12-09,occasional,low,215,2,1,1,4
3,Kimberly Robinson,1,3348.48,2025-09-26,one-time,low,289,1,1,1,3
4,Daniel Gallagher,3,1213.62,2025-09-29,occasional,low,286,1,2,1,4
5,Monica Herrera,2,5196.01,2025-06-26,occasional,low,381,1,1,2,4
6,Laura Bush,2,2105.15,2026-01-28,occasional,low,165,2,1,1,4
7,Jamie Chavez,4,9703.71,2025-11-12,loyal,high,242,2,2,3,7
8,Maria Lynch,5,5744.46,2026-06-23,loyal,medium,19,4,3,2,9
9,Margaret Hawkins DDS,2,3606.47,2025-09-14,occasional,low,301,1,1,1,3
10,Thomas Bradley,3,9585.32,2025-12-15,occasional,high,209,2,2,3,7
11,David Hoffman,3,7790.4,2026-01-24,occasional,medium,169,2,2,3,7
12,Brenda Snyder PhD,7,14185.63,2026-01-20,loyal,high,173,2,4,4,10
13,James Ferrell,2,4214.79,2025-09-24,occasional,low,291,1,1,2,4
14,Patricia Peterson,2,2445.48,2026-04-14,occasional,low,89,3,1,1,5
16,James Martin,3,2464.41,2025-07-09,occasional,low,368,1,2,1,4
17,Sandra Parker,5,11557.4,2025-12-01,loyal,high,223,2,3,4,9
19,Jenny Lewis,6,14503.39,2026-05-26,loyal,high,47,3,4,4,11
20,Joseph Martinez,8,16321.63,2026-05-08,loyal,high,65,3,4,4,11
23,Rhonda Lee,3,9211.79,2026-06-30,occasional,medium,12,4,2,3,9
24,Megan Joyce,7,13159.38,2026-03-22,loyal,high,112,3,4,4,11
25,Jerry Henderson,1,1408.88,2026-05-29,one-time,low,44,4,1,1,6
26,Kimberly Smith,5,10751.64,2026-01-25,loyal,high,168,2,3,3,8
27,Dr. Steven Martin,3,8358.0,2026-06-15,occasional,medium,27,4,2,3,9
28,Monica Logan,2,5516.75,2025-08-28,occasional,medium,318,1,1,2,4
29,Kimberly Adkins,2,5507.9,2026-05-07,occasional,medium,66,3,1,2,6
30,Angela Lopez,6,12356.9,2026-03-23,loyal,high,111,3,4,4,11
31,Lauren Williams,4,7887.72,2026-04-10,loyal,medium,93,3,2,3,8
32,Michael Edwards,5,7402.12,2026-06-23,loyal,medium,19,4,3,2,9
34,Benjamin Sanchez,5,6617.73,2026-06-14,loyal,medium,28,4,3,2,9
35,Kendra Contreras,5,11094.63,2025-11-29,loyal,high,225,2,3,4,9
36,Juan Nelson,3,6490.17,2025-10-02,occasional,medium,283,1,2,2,5
37,Danielle Odonnell,1,2558.38,2024-07-17,one-time,low,725,1,1,1,3
38,Carlos Whitney,4,10866.48,2026-04-29,loyal,high,74,3,2,3,8
39,Tony Vazquez,4,2763.31,2026-06-03,loyal,low,39,4,2,1,7
40,Andrew Diaz,2,4137.14,2025-10-23,occasional,low,262,1,1,1,3
41,Justin Baxter,5,8640.26,2026-06-29,loyal,medium,13,4,3,3,10
